order_item_id,order_id,product_id,quantity,subtotal
88,41944,962,4,146.49
89,36545,612,3,94.5
90,27190,451,2,199.2
91,16721,269,2,360.1
92,30491,54,4,235.54
93,30497,20,5,40.0
94,6701,157,3,126.7
95,38148,268,1,304.26
96,49563,636,1,424.36
97,43792,994,1,265.82
98,10652,983,4,32.56
99,12987,952,4,15.94
100,8995,42,5,412.48
101,26244,919,2,482.8
102,5633,895,1,28.59
103,42764,45,3,353.61
104,12546,971,1,122.86
105,28902,777,5,25.88
106,33594,375,2,37.36
107,13752,266,4,444.63
108,26882,42,2,492.4
109,7504,379,5,115.75
110,4389,980,3,488.53
111,33569,997,4,70.19
112,35813,862,1,192.99
113,48142,618,1,196.68
114,42540,652,4,21.89
115,46856,786,2,371.0
116,45894,360,1,56.56
117,8039,681,4,139.46
118,18026,118,5,417.44
119,18246,754,3,439.05
120,9024,36,4,94.17
121,39945,771,5,317.36
122,40963,239,3,297.34
123,3202,671,3,354.16
124,28250,528,4,173.98
125,44162,926,3,342.46
126,45482,435,5,38.8
127,44431,847,3,96.33
128,47577,96,3,67.34
129,8725,159,4,470.43
130,37862,298,5,53.52
131,18695,737,2,463.31
132,9640,508,5,212.1
133,24836,580,1,39.66
134,1524,953,5,287.82
135,41969,741,2,129.59
136,42276,666,1,253.59
137,47035,598,3,215.0
138,35089,677,2,243.28
139,35842,567,3,366.14
140,24092,598,4,157.01
141,43259,106,5,328.82
142,16009,896,4,325.23
143,22154,297,4,207.96
144,14679,381,3,368.21
145,18576,206,3,219.23
146,40613,919,1,354.8
147,41522,377,1,88.33
148,48655,848,3,67.19
149,44835,285,5,386.15
150,14493,348,1,156.34
151,18300,795,3,77.12
152,2788,555,2,35.74
153,4391,90,3,156.07
154,43652,282,4,309.26
155,30662,593,5,397.02
156,12461,969,3,379.93
157,2011,639,5,317.32
158,47099,372,5,124.07
159,9376,822,2,321.35
160,12044,398,5,263.52
161,32509,1000,2,376.23
162,19745,689,2,442.98
163,20240,125,2,116.09
164,38921,896,5,406.92
165,18832,192,3,250.28
166,32303,37,1,312.33
167,17330,758,3,402.82
168,16929,431,5,33.36
169,49112,113,1,202.3
170,22269,52,1,448.69
171,5159,341,5,413.25
172,7038,318,3,367.37
173,9186,116,4,29.78
174,3835,842,4,419.98
175,45435,712,3,317.48
176,30700,571,1,54.93
177,12984,987,2,205.84
178,13843,120,2,295.88
179,32223,992,5,87.0
180,37175,622,2,158.51
181,44271,799,3,265.58
182,42274,49,1,34.69
183,6314,302,1,356.73
184,11856,562,5,137.35
185,14637,605,5,428.49
186,1029,320,3,47.96
187,31996,785,3,259.12
188,37055,47,5,117.87
189,48810,859,2,61.32
190,44183,15,4,84.54
191,3264,995,2,70.28
192,13594,49,2,375.1
193,41616,88,4,73.46
194,31549,814,4,474.37
195,13934,210,1,124.06
196,1058,514,4,239.07
197,41404,466,3,483.82
198,23165,627,1,494.64
199,12214,474,1,426.07
200,34369,429,4,31.79
201,12668,9,4,197.78
202,49476,665,1,88.45
203,44878,747,3,266.88
204,29892,406,2,262.16
205,26289,78,1,339.46
206,9657,382,2,343.07
207,22513,763,5,243.12
208,24891,802,4,292.95
209,38607,613,1,67.31
210,42253,326,3,286.82
211,1192,900,3,193.13
212,34519,589,1,324.07
213,13243,603,2,93.23
214,27416,391,4,384.91
215,42057,995,2,16.52
216,2508,325,4,82.93
217,29980,548,1,412.19
218,41413,383,1,110.6
219,29227,785,4,18.88
220,10451,977,5,445.03
221,29237,997,1,210.19
222,27504,814,5,125.37
223,29555,100,3,224.93
224,28447,90,4,180.34
225,5792,146,4,335.18
226,45036,85,2,224.11
227,5332,340,3,416.37
228,23342,328,4,479.29
229,30101,165,1,131.29
230,40580,540,1,224.26
231,1096,657,1,126.03
232,39396,389,1,175.95
233,34298,683,3,358.05
234,29744,104,2,107.92
235,20841,324,3,11.58
236,41699,630,2,75.61
237,3783,62,2,231.25
238,3186,81,3,364.34
239,29430,618,1,379.37
240,47394,553,4,372.53
241,14955,33,3,238.02
242,32388,537,5,69.81
243,38129,605,2,271.59
244,46224,364,5,255.47
245,37719,507,3,63.65
246,4525,823,1,127.18
247,41669,716,1,207.72
248,29208,639,2,431.26
249,48091,544,5,27.96
250,35016,691,3,412.83
251,17846,130,2,49.1
252,13398,605,4,441.6
253,37106,95,3,33.2
254,44884,453,1,55.14
255,44413,581,2,162.01
256,18708,287,5,424.23
257,35784,682,4,262.08
258,39033,759,3,451.93
259,24078,926,5,269.9
260,1854,704,4,122.65
261,19320,990,2,143.35
262,83,562,5,369.13
263,24256,910,3,493.27
264,5400,644,5,391.45
265,47145,930,4,391.9
266,49011,345,2,473.64
267,10235,952,1,102.74
268,25502,995,4,337.07
269,489,834,2,101.79
270,34298,296,3,82.83
271,48129,946,3,129.11
272,35339,248,4,425.53
273,19526,877,5,136.09
274,18643,56,1,192.89
275,41937,138,2,396.17
276,40329,807,1,72.95
277,20306,504,1,197.73
278,24224,98,4,308.46
279,49567,457,1,165.72
280,37197,542,4,499.4
281,20404,494,4,238.73
282,40119,401,1,77.1
283,32101,98,5,481.49
284,37139,669,2,296.36
285,14665,279,5,39.6
286,23001,507,4,459.81
287,33787,501,4,248.77
288,42415,124,4,16.26
289,2577,767,3,210.47
290,44789,303,1,295.5
291,34016,186,5,18.13
292,2882,759,3,380.65
293,25760,269,1,18.09
294,23180,890,1,267.6
295,18601,160,2,183.62
296,20062,824,3,306.77
297,27425,398,3,289.77
298,19984,486,1,451.25
299,226,154,5,158.74
300,531,213,1,228.18
301,9097,976,4,463.77
302,3120,438,2,101.01
303,34313,797,5,284.76
304,9402,114,5,171.69
305,42884,979,3,184.61
306,49138,467,2,11.07
307,24889,963,1,200.37
308,9306,678,4,334.56
309,25238,193,4,287.56
310,31267,379,3,478.38
311,5128,266,1,484.5
312,30002,105,5,453.1
313,17790,262,5,417.38
314,8380,780,4,361.46
315,8030,659,2,85.15
316,19700,559,3,466.98
317,39939,643,2,312.87
318,39008,521,1,178.97
319,16306,963,5,269.89
320,4968,475,4,271.21
321,24968,462,3,439.44
322,39906,117,3,423.27
323,47840,441,2,392.54
324,35170,217,2,286.37
325,31354,776,1,102.55
326,11842,739,4,391.2
327,26723,789,2,10.25
328,7260,410,4,51.17
329,32381,530,1,354.65
330,35506,173,4,474.75
331,13986,692,3,406.21
332,42404,651,4,224.65
333,10004,863,2,282.57
334,48662,471,1,347.31
335,26230,165,1,271.96
336,20187,169,3,221.45
337,34580,321,2,157.68
338,21560,12,5,177.67
339,24885,104,4,72.09
340,48743,21,1,461.88
341,34203,596,2,71.59
342,41288,339,5,304.62
343,4406,143,2,424.21
344,42274,6,5,113.09
345,43133,434,3,294.76
346,39295,940,2,290.05
347,24351,108,2,354.39
348,33765,988,4,27.2
349,48702,955,1,122.46
350,31229,877,3,195.64
351,43981,397,5,237.13
352,25947,252,5,189.69
353,15943,916,3,312.22
354,10151,235,4,488.99
355,17959,176,1,216.7
356,18793,558,3,86.1
357,33745,6,2,139.01
358,25885,814,3,498.02
359,1095,764,3,474.49
360,10617,503,4,448.75
361,34998,517,3,205.22
362,6743,547,4,400.09
363,23259,305,5,222.42
364,24427,93,1,23.01
365,2026,866,1,269.08
366,3152,426,2,230.82
367,1941,357,3,86.41
368,3154,361,1,360.02
369,33880,890,5,465.6
370,46050,634,3,203.16
371,41974,40,5,148.37
372,17177,825,5,218.34
373,35421,32,1,329.49
374,48433,690,5,257.96
375,27148,838,3,384.62
376,8074,638,5,81.85
377,48002,313,4,47.6
378,6541,252,4,377.62
379,41869,932,5,182.18
380,27959,192,1,246.17
381,941,443,5,399.63
382,19369,737,5,319.28
383,20519,370,3,491.61
384,37784,54,5,294.3
385,41228,992,2,361.19
386,24892,100,5,62.29
387,2072,603,5,98.41
388,900,341,1,290.61
389,31145,221,3,358.86
390,5064,606,2,318.0
391,29647,566,3,195.29
392,33445,588,3,245.4
393,18794,582,3,483.97
394,30718,339,4,153.85
395,25717,709,4,233.38
396,49576,696,4,352.08
397,40746,196,1,388.23
398,7930,187,4,86.83
399,12037,448,3,99.78
400,48917,291,2,302.48
401,15137,753,5,213.76
402,47762,91,2,184.25
403,11880,65,3,137.21
404,12272,842,2,299.41
405,7550,565,4,152.17
406,39039,169,4,491.2
407,38187,82,3,467.15
408,18215,173,4,479.66
409,44509,10,5,142.67
410,21720,682,4,31.04
411,47617,729,1,486.07
412,47988,785,4,400.15
413,36616,632,2,332.5
414,47960,998,3,218.33
415,16558,990,1,227.78
416,33795,817,2,405.05
417,45923,68,4,177.61
418,5834,118,3,69.83
419,42924,413,3,218.32
420,36520,43,2,373.4
421,18038,850,1,247.7
422,9986,673,1,198.87
423,33684,739,4,326.39
424,1267,894,4,449.17
425,6620,75,4,202.82
426,10524,121,4,175.26
427,19562,515,5,441.11
428,10964,97,4,229.5
429,34486,153,3,396.13
430,39026,766,3,347.28
431,47444,898,5,330.71
432,22074,731,3,76.26
433,49186,381,4,230.5
434,30559,383,5,133.29
435,25439,933,2,51.9
436,30270,594,1,409.52
437,7367,596,3,174.75
438,24754,528,5,14.72
439,18561,314,1,283.33
440,14591,386,4,99.89
441,49024,664,3,148.03
442,35652,969,2,111.83
443,13982,514,4,323.44
444,5681,738,3,182.39
445,1148,864,2,39.63
446,21920,804,3,346.21
447,14093,643,4,222.44
448,45267,67,4,370.53
449,10059,675,1,53.14
450,30010,469,3,293.81
451,10830,718,5,457.75
452,20880,504,1,191.3
453,49848,144,4,60.5
454,25793,611,3,423.55
455,6611,448,4,96.72
456,40407,396,3,23.38
457,22848,321,5,430.41
458,18411,336,3,266.32
459,37921,130,4,414.42
460,39721,677,5,315.94
461,21055,309,2,363.6
462,21771,59,5,125.55
463,22045,876,1,237.9
464,34957,165,4,422.38
465,44220,323,5,175.85
466,38819,698,5,175.19
467,9423,725,2,376.95
468,46321,813,5,83.09
469,19536,794,1,398.37
470,49896,887,3,22.43
471,46717,58,2,31.08
472,18929,977,1,238.36
473,15416,161,5,336.78
474,11950,842,5,255.52
475,8051,136,3,354.77
476,11379,898,4,106.01
477,24081,108,1,405.79
478,40249,448,1,121.21
479,9759,392,1,144.87
480,35738,284,2,211.72
481,15383,105,1,48.31
482,25824,751,5,246.06
483,41875,487,4,476.74
484,45609,561,1,298.51
485,112,373,1,132.74
486,36155,918,2,488.82
487,111,963,2,67.28
488,11447,400,5,317.87
489,36137,257,4,497.65
490,26438,492,1,178.56
491,18381,790,4,485.54
492,31183,798,4,166.18
493,20983,290,3,246.55
494,35961,404,2,363.26
495,13785,608,4,326.47
496,28454,421,4,304.36
497,36650,703,2,376.94
498,37805,534,3,372.58
499,36700,765,1,417.56
500,25596,527,5,333.48
501,43594,397,3,411.75
502,45556,627,5,169.65
503,14414,446,4,340.61
504,12283,193,1,131.08
505,45689,284,4,289.7
506,15383,856,3,285.43
507,36082,639,2,54.93
508,21181,475,5,94.19
509,15084,86,5,284.38
510,41179,708,4,142.46
511,36291,876,5,499.95
512,9660,504,5,417.99
513,44623,697,4,494.67
514,20292,235,1,83.74
515,32759,967,2,271.64
516,24148,802,2,53.36
517,28882,277,5,18.31
518,46932,650,2,197.0
519,11238,500,4,12.95
520,28552,415,4,465.11
521,32011,842,3,494.12
522,35142,69,5,437.76
523,9268,249,5,253.75
524,43019,344,2,205.44
525,25575,739,4,64.92
526,35111,917,1,397.38
527,9294,833,3,153.52
528,8128,147,4,71.96
529,25931,245,3,297.49
530,15180,375,4,57.65
531,33698,740,2,315.59
532,24076,960,3,231.36
533,49604,469,2,145.93
534,44309,996,1,32.98
535,11306,290,2,391.13
536,25920,702,2,485.62
537,510,268,1,96.23
538,7594,603,1,474.47
539,30498,288,5,493.44
540,237,652,3,59.06
541,18480,148,4,451.96
542,46141,916,2,278.47
543,4170,176,5,162.82
544,24283,537,5,398.3
545,40961,943,3,406.52
546,35730,136,2,21.18
547,43867,554,3,498.29
548,11235,549,1,312.22
549,30247,284,3,343.26
550,6901,96,5,181.13
551,45043,667,3,292.57
552,3281,111,3,211.97
553,3211,274,3,427.45
554,23187,102,4,494.81
555,27072,925,4,433.5
556,45098,667,3,65.38
557,4251,615,2,439.34
558,34110,554,4,82.11
559,34849,144,2,141.41
560,1860,722,2,342.75
561,24069,368,1,95.87
562,13593,581,5,163.77
563,15410,741,4,355.87
564,30365,462,2,180.63
565,4651,206,1,67.68
566,42713,228,4,458.71
567,49168,9,5,47.62
568,41699,523,3,25.85
569,13208,204,3,93.02
570,17233,152,3,152.5
571,19335,533,2,215.61
572,34239,717,5,269.39
573,13125,341,5,70.03
574,41570,455,1,139.33
575,13224,51,4,169.75
576,30171,670,4,475.92
577,40188,708,1,392.26
578,23304,312,2,254.46
579,6666,321,3,249.16
580,8561,835,2,406.77
581,14311,967,1,360.71
582,47786,666,2,95.8
583,45099,878,2,38.86
584,15048,308,4,318.35
585,37622,784,2,102.44
586,47351,792,3,336.87
587,28613,803,1,498.05
588,46099,617,5,318.03
589,41065,730,3,91.08
590,33815,42,1,269.32
591,45568,42,3,129.15
592,26358,594,5,229.57
593,40256,995,4,435.9
594,7023,743,5,280.66
595,18463,26,2,476.01
596,33850,674,2,395.91
597,10473,112,3,167.75
598,2662,442,5,335.36
599,41547,780,5,177.77
600,27360,892,3,337.59
601,30611,414,1,259.29
602,46930,738,5,238.36
603,40214,531,2,307.03
604,16816,269,1,465.46
605,13985,297,5,445.91
606,47895,861,2,342.98
607,46038,39,4,65.76
608,41086,375,3,479.1
609,26287,344,1,208.97
610,23105,708,3,223.1
611,8954,525,3,95.83
612,21458,8,4,116.41
613,23058,66,2,60.34
614,7772,579,2,357.54
615,47643,989,3,257.71
616,43333,169,3,62.03
617,47096,651,2,428.07
618,20625,84,2,95.07
619,25452,945,1,86.42
620,18900,182,4,184.36
621,318,346,5,334.65
622,17224,896,1,170.06
623,15565,674,3,339.17
624,48506,332,2,154.07
625,8398,664,4,115.25
626,22377,617,1,175.94
627,36808,360,4,434.56
628,39455,507,3,480.88
629,37313,178,5,26.94
630,7933,580,5,158.02
631,25870,837,2,191.06
632,45593,784,3,109.02
633,11654,807,3,405.43
634,38912,919,4,332.49
635,7600,732,4,409.17
636,49670,114,1,490.44
637,36374,352,1,315.44
638,28147,362,5,96.93
639,11237,778,1,485.97
640,24190,787,3,321.37
641,32587,312,3,283.01
642,45421,142,3,416.7
643,45978,998,4,473.06
644,26198,538,4,73.19
645,12326,907,4,178.97
646,46464,418,3,287.23
647,22442,723,1,137.95
648,11482,922,5,184.89
649,22676,557,5,359.25
650,49671,208,3,18.89
651,22540,8,5,481.54
652,6161,638,4,318.23
653,12732,368,1,196.78
654,23033,844,4,315.06
655,1844,852,4,54.35
656,20250,882,2,154.65
657,37088,457,1,224.8
658,24299,514,3,227.55
659,34738,531,4,193.22
660,7861,402,1,232.55
661,10828,225,3,130.13
662,36346,894,5,358.53
663,25803,48,4,156.52
664,32842,206,2,394.5
665,28122,175,2,48.26
666,45826,707,5,284.47
667,30285,863,3,16.59
668,5674,9,5,234.02
669,30087,442,5,28.77
670,32950,207,1,306.05
671,506,83,1,98.63
672,6711,155,1,339.56
673,6265,627,1,48.5
674,28953,903,5,399.62
675,34742,299,5,18.33
676,19532,499,2,19.56
677,35806,788,5,219.92
678,41894,565,4,159.08
679,21787,542,3,49.46
680,40346,340,4,450.29
681,46771,423,1,48.4
682,29185,878,4,414.06
683,33016,931,5,422.48
684,12233,494,4,461.3
685,6841,539,4,197.43
686,24855,931,5,165.79
687,12757,845,1,436.31
688,39076,642,4,94.24
689,33060,678,3,99.59
690,38754,312,5,163.01
691,22474,77,5,174.34
692,30257,256,1,390.64
693,20633,341,2,47.08
694,573,931,3,413.1
695,43542,243,1,455.19
696,17159,792,2,435.14
697,30082,307,4,333.03
698,17574,529,4,488.49
699,5476,562,5,455.84
700,34820,922,5,375.2
701,40253,335,5,267.77
702,18701,66,5,113.4
703,36920,465,2,356.39
704,4874,208,2,395.71
705,39337,222,4,127.29
706,27366,604,2,42.54
707,41315,864,2,445.38
708,25281,50,1,411.71
709,37518,541,3,180.48
710,24754,709,1,454.86
711,38909,807,5,360.66
712,9910,556,1,16.64
713,10609,252,3,56.31
714,42946,153,1,135.43
715,18044,784,5,234.72
716,16953,58,4,480.09
717,39347,634,5,80.92
718,47383,276,1,498.07
719,10894,738,1,83.85
720,15135,606,2,340.34
721,2669,546,4,334.6
722,21241,410,3,497.61
723,8727,10,3,266.71
724,8909,692,4,282.14
725,47837,764,5,379.64
726,6560,98,1,499.59
727,26396,121,2,179.81
728,3242,746,2,381.41
729,23874,122,1,30.46
730,33124,754,1,294.89
731,12817,235,4,164.36
732,45764,581,2,317.19
733,37922,726,3,405.69
734,26648,354,3,364.84
735,37352,908,3,119.23
736,41460,234,1,86.48
737,47970,332,2,385.05
738,25052,2,2,138.61
739,32969,760,5,479.5
740,46718,263,4,291.0
741,21435,672,2,82.34
742,35354,775,1,264.05
743,28184,793,4,266.39
744,17499,880,5,395.88
745,42157,337,1,299.88
746,38107,732,3,441.84
747,12577,682,3,265.92
748,31214,165,2,22.28
749,44706,278,5,239.88
750,21886,805,4,497.9
751,30871,670,1,361.95
752,1833,935,1,73.13
753,2569,831,1,265.99
754,17063,371,4,478.43
755,37485,835,3,414.64
756,34099,125,1,165.43
757,13561,145,5,373.46
758,11577,519,1,302.98
759,24746,224,2,202.81
760,29315,718,1,308.92
761,7598,424,5,56.79
762,13311,809,4,386.41
763,2674,713,3,399.23
764,27165,851,3,469.33
765,28,938,3,268.13
766,6767,485,2,193.27
767,49948,863,1,141.39
768,38022,872,4,168.13
769,28077,866,5,426.25
770,43252,119,3,421.46
771,13005,805,3,354.14
772,45152,389,1,53.43
773,13782,136,3,217.25
774,15767,577,1,194.69
775,2458,699,3,327.9
776,32497,684,2,72.98
777,9278,822,2,98.83
778,23734,638,3,301.07
779,37404,759,2,130.69
780,20588,322,1,200.67
781,26348,385,1,145.91
782,19330,734,2,196.88
783,8718,248,1,30.45
784,9272,349,3,334.49
785,7651,26,3,33.09
786,36223,890,5,463.64
787,8766,982,1,269.62
788,12320,198,2,435.9
789,44780,576,3,424.91
790,37243,945,1,445.16
791,16763,370,3,274.66
792,43456,776,5,231.79
793,36201,659,1,243.26
794,5219,18,4,447.46
795,48901,377,5,472.32
796,21575,22,5,185.06
797,19641,630,2,479.48
798,6903,363,3,445.26
799,3980,412,2,23.91
800,22719,206,5,313.89
801,33720,423,3,461.56
802,28933,707,3,425.58
803,49725,213,3,285.97
804,45424,951,3,177.37
805,14990,195,1,102.66
806,47594,601,4,434.3
807,37103,385,4,380.56
808,44624,923,4,341.16
809,19451,112,2,428.44
810,25804,475,5,136.87
811,34814,507,5,441.21
812,2309,452,1,156.15
813,7522,68,5,219.28
814,16558,200,2,86.71
815,42264,399,2,90.44
816,23,252,2,89.95
817,787,75,2,64.5
818,49020,609,4,32.41
819,33998,933,4,468.83
820,46183,282,1,356.75
821,9058,112,5,162.59
822,12239,673,2,312.25
823,17304,930,2,319.46
824,6842,857,3,329.4
825,27670,101,3,410.74
826,34220,379,3,421.14
827,14998,736,3,290.3
828,45226,908,3,387.55
829,22627,619,5,235.84
830,9710,909,1,354.32
831,23227,688,4,352.15
832,29904,259,2,111.1
833,46551,619,4,11.22
834,13952,816,3,107.33
835,9380,691,3,408.66
836,7463,494,2,410.61
837,46573,362,2,369.03
838,15943,907,2,415.58
839,40505,832,3,14.17
840,4529,34,3,236.03
841,41514,823,4,280.83
842,9033,489,4,327.79
843,41494,278,1,181.26
844,619,596,4,173.0
845,47209,878,5,170.53
846,16977,887,1,224.17
847,24176,794,3,174.18
848,29985,983,5,192.12
849,28054,995,4,167.92
850,10802,974,5,273.07
851,24324,312,3,439.02
852,41568,385,1,122.57
853,34502,813,4,32.66
854,19883,743,3,123.26
855,48990,124,1,120.2
856,7855,380,1,259.69
857,35342,406,2,274.87
858,33154,403,1,116.05
859,46977,78,2,193.16
860,270,903,2,372.58
861,49148,661,2,73.38
862,20793,53,1,399.93
863,38856,878,1,16.74
864,17966,518,3,136.75
865,27011,673,1,72.58
866,38834,398,5,171.41
867,41171,516,2,455.23
868,16720,781,5,332.35
869,31083,70,3,295.26
870,35080,321,2,422.19
871,42811,251,1,431.31
872,7646,254,1,218.23
873,40764,500,1,342.44
874,8757,709,5,54.2
875,10256,608,3,56.47
876,20190,884,1,162.46
877,9049,134,1,305.64
878,39982,922,1,197.55
879,38534,30,4,74.47
880,2627,549,5,417.61
881,24397,943,4,141.95
882,41284,249,4,434.35
883,467,915,4,494.04
884,26403,791,1,225.81
885,6279,405,1,436.38
886,24918,339,2,347.54
887,9794,574,3,52.11
888,4710,93,5,443.72
889,13128,464,2,91.06
890,30545,978,1,87.67
891,28136,790,4,109.35
892,43229,388,3,299.8
893,38501,681,4,431.28
894,1581,891,2,285.05
895,21284,58,3,422.59
896,22656,968,2,237.74
897,40967,569,5,323.4
898,30647,118,5,111.63
899,47890,904,5,116.97
900,42453,694,5,236.68
901,23453,148,4,49.41
902,5090,840,1,406.06
903,32365,59,1,46.23
904,21863,373,1,116.27
905,39675,558,1,263.37
906,6177,656,5,378.97
907,38424,34,1,71.79
908,49830,973,4,496.44
909,39715,463,5,428.41
910,46825,588,5,403.34
911,10793,129,3,416.7
912,43,586,5,279.92
913,19973,867,5,149.94
914,13761,66,1,98.18
915,42023,598,5,48.45
916,28646,435,5,368.19
917,30770,391,3,301.65
918,17474,234,3,179.18
919,14797,934,5,243.07
920,2883,46,5,32.55
921,30161,518,5,105.25
922,13518,562,5,153.03
923,907,502,3,116.7
924,37726,426,1,120.75
925,29980,77,4,304.15
926,6523,161,3,194.69
927,5419,46,4,11.8
928,27438,318,2,261.1
929,42493,701,3,480.7
930,7084,99,5,480.95
931,3559,545,5,108.93
932,47863,184,3,89.28
933,39298,105,5,252.27
934,29753,433,4,350.09
935,236,400,5,379.23
936,15443,950,5,472.03
937,10362,108,1,385.19
938,37716,627,2,315.76
939,25064,333,4,190.31
940,33226,872,2,12.94
941,15326,906,4,290.48
942,10666,360,2,390.99
943,1810,948,3,335.43
944,40266,411,2,286.29
945,6193,774,5,297.45
946,37519,435,1,136.04
947,39616,993,3,150.83
948,35049,448,2,138.68
949,32854,808,1,496.68
950,49272,326,2,307.9
951,28544,196,4,325.5
952,44960,30,2,325.6
953,7694,745,3,457.38
954,37908,550,2,384.51
955,3951,284,1,308.65
956,47715,979,5,284.4
957,14699,566,3,359.9
958,38107,362,1,358.4
959,45985,633,3,100.89
960,12983,725,1,286.46
961,49939,787,4,257.38
962,22716,35,1,119.89
963,26254,277,2,118.86
964,20159,438,2,13.93
965,1944,567,4,217.28
966,39436,993,4,110.06
967,23774,755,3,388.95
968,11794,292,3,114.41
969,16890,331,4,75.79
970,33785,548,4,219.05
971,14143,980,4,333.68
972,7444,90,5,491.32
973,10378,930,3,480.66
974,22865,290,4,110.6
975,17440,376,1,130.1
976,38615,448,2,155.64
977,32817,345,1,380.9
978,757,33,1,268.41
979,16207,37,3,305.85
980,3329,898,4,230.04
981,16438,989,4,246.6
982,43111,780,1,100.99
983,41051,580,1,95.12
984,3990,268,4,244.47
985,1960,343,5,247.54
986,45382,458,3,154.72
987,28306,698,4,422.0
988,1618,2,2,364.95
989,1774,974,3,225.51
990,5375,271,5,400.29
991,14534,735,2,186.36
992,14039,667,5,390.75
993,22869,994,3,182.64
994,41194,301,3,163.64
995,40117,697,5,282.17
996,40488,782,1,147.72
997,31110,707,2,62.98
998,19766,133,1,47.14
999,4276,241,4,398.93
1000,7186,863,1,237.23
1001,15866,369,5,80.26
1002,21142,55,5,138.88
1003,12733,599,4,213.18
1004,28703,643,2,193.12
1005,35331,527,2,250.71
1006,23901,662,2,282.18
1007,5254,129,4,217.51
1008,40574,880,1,427.33
1009,2905,677,4,111.74
1010,18025,838,5,200.0
1011,37120,981,4,306.31
1012,8211,752,2,36.06
1013,48035,183,3,381.9
1014,38674,532,4,303.37
1015,4677,269,3,134.04
1016,43554,536,4,194.28
1017,48622,214,5,412.56
1018,47312,330,3,485.13
1019,4521,534,1,426.33
1020,7037,190,1,415.16
1021,47717,67,4,364.93
1022,17506,187,2,494.07
1023,20396,355,5,422.32
1024,23358,406,3,69.67
1025,28853,384,1,21.54
1026,5596,457,2,345.17
1027,17149,94,3,453.32
1028,3928,463,2,83.15
1029,4479,434,2,45.14
1030,18702,278,4,50.41
1031,43986,211,5,258.22
1032,12868,845,5,125.96
1033,24097,84,5,119.2
1034,40447,532,5,84.7
1035,42288,800,4,50.41
1036,17245,429,3,125.85
1037,39294,222,3,119.89
1038,12654,893,4,139.56
1039,1710,493,2,71.32
1040,15466,269,5,467.43
1041,18673,76,4,299.1
1042,47099,257,1,388.6
1043,36100,187,1,374.82
1044,5414,343,4,75.26
1045,5707,594,1,89.7
1046,8890,760,1,302.63
1047,6660,200,4,129.74
1048,15480,693,1,246.0
1049,11757,725,1,115.01
1050,49004,27,5,142.72
1051,41749,636,5,439.08
1052,5171,739,2,237.46
1053,47367,182,5,149.79
1054,7297,361,5,228.74
1055,12849,290,5,231.68
1056,15175,284,4,256.51
1057,49691,869,2,366.96
1058,47842,160,4,464.47
1059,10462,562,4,293.7
1060,17263,815,1,125.27
1061,38008,418,1,41.48
1062,18613,369,1,39.38
1063,33019,880,3,330.8
1064,28337,12,3,160.86
1065,19140,79,4,367.48
1066,23530,385,5,423.48
1067,21350,241,4,435.89
1068,29624,877,5,313.86
1069,16966,220,1,358.81
